,LSRCa,LSRCb,LSRCc,L650a,L650b,L650c,LREGa,LREGb,LREGc,L633a,L633b,L633c,L634a,L634b,L634c,L671a,L671b,L671c,L645b,L645c,L646b,L646c,L692a,L692b,L692c,L675a,L675b,L675c,L611c,L652a,L670a,L670b,L670c,L632a,L632b,L632c,L680a,L680b,L680c,L684a,L684c
00:00.2,0,0,0,0,0,0,0,0,0,18.25,6.626,4.161,5.8,3.638,8.738,8.912,5.456,3.07,1.129,2.782,0.272,0.694,0,0,0,1.129,1.548,26.76,12.534,8.028,1.662,0.566,1.71,5.187,2.869,0.976,2.291,3.839,3.262,3.25,1.722
00:00.2,0,0,0,0,0,0,0,0,0,18.003,6.205,4.335,5.2,3.915,7.984,8.941,4.955,3.136,1.579,2.03,0.335,0.599,0,0,0,1.579,2.278,26.34,13.47,7.987,2.016,0.909,1.712,5.155,2.633,1.079,2.085,4.061,3.835,2.821,1.768
00:00.2,0,0,0,0,0,0,0,0,0,18.208,6.698,4.53,6.32,3.364,12.761,8.742,4.727,3.684,1.26,1.916,0.328,0.565,0,0,0,1.26,1.699,27.04,14.315,8.053,1.767,1.385,1.738,5.284,2.499,0.96,2.215,2.874,4.156,2.917,1.814
00:00.3,0,0,0,0,0,0,0,0,0,17.988,6.244,4.234,6.04,3.635,13.536,8.027,4.221,2.74,1.346,2.043,0.271,0.577,0,0,0,1.346,2.046,27,13.699,8.971,1.826,0.631,1.979,5.598,2.915,1.014,2.222,3.438,4.674,2.954,1.627
00:00.3,0,0,0,0,0,0,0,0,0,18.516,6.689,5.181,5.88,3.878,13.167,8.159,6.461,4.331,1.51,2.032,0.297,0.6,0,0,0,1.51,2.486,26.74,13.122,8.293,1.919,0.679,1.824,5.634,4.435,1.03,2.811,4.079,3.186,3.101,1.815
00:00.3,0,0,0,0,0,0,0,0,0,18.159,6.741,7.444,9.28,4.307,15.425,8.949,6.008,4.04,0.966,2.208,0.406,0.754,0,0,0,0.966,3.162,33.62,20.351,9.258,1.918,0.693,2.002,5.736,2.645,1.039,2.423,4.628,3.177,3.557,2.748
00:00.3,0,0,0,0,0,0,0,0,0,28.173,11.091,24.633,8.32,5.074,18.541,7.767,5.834,5.044,1.696,2.522,0.937,0.659,0,0,0,1.696,1.451,94.6,23.818,9.348,2.358,0.652,1.587,7.766,3.554,1.066,2.825,3.563,4.487,4.448,4.026
00:00.3,0,0,0,0,0,0,0,0,0,37.924,18.349,23.41,12.84,4.825,20.248,8.779,5.326,8.223,5.053,3.909,0.669,0.588,0,0,0,5.053,1.67,105.62,22.743,13.808,2.528,0.659,1.684,12.458,3.063,1.103,2.65,3.591,5.991,4.948,4.151
00:00.3,0,0,0,0,0,0,0,0,0,53.281,20.379,25.847,15.08,6.386,17.284,8.748,6.072,10.543,4.397,4.06,0.753,0.921,0,0,0,4.397,2.55,150.78,21.146,10.46,1.749,1.087,1.64,12.146,3.544,1.166,2.739,3.736,5.34,5.545,3.89
00:00.3,0,0,0,0,0,0,0,0,0,52.44,19.609,27.848,15.92,4.713,22.763,8.392,6.094,6.066,5.714,3.272,2.139,0.842,0,0,0,5.714,7.103,120.18,23.081,10.643,1.869,0.594,3.603,12.938,3.025,1.273,3.076,6.045,3.571,3.252,2.929
00:00.3,0,0,0,0,0,0,0,0,0,54.477,19.214,26.214,15.64,3.208,24.213,8.421,5.016,5.222,7.903,1.731,0.541,0.91,0,0,0,7.903,4.846,112.24,23.634,10.468,1.786,1.673,2.227,12.265,3.869,1.914,2.704,8.419,3.486,3.132,5.248
00:00.3,0,0,0,0,0,0,0,0,0,52.686,18.122,23.357,15.36,3.269,25.156,9.175,5.26,6.674,8.104,1.981,0.965,2.914,0,0,0,8.104,4.232,97.62,22.426,7.935,2.174,4.22,3.275,11.672,3.528,1.447,2.488,6.403,3.289,3.975,3.753
00:00.3,0,0,0,0,0,0,0,0,0,57.49,18.111,24.248,17.24,3.496,23.369,9.274,6.941,11.069,10.037,1.698,1.001,2.744,0,0,0,10.037,2.651,153.42,27.506,7.68,2.798,3.541,2.003,12.888,3.057,1.271,2.292,6.877,3.734,3.195,2.272
00:00.3,0,0,0,0,0,0,0,0,0,57.156,20.503,26.763,22.04,3.377,20.699,8.909,5.216,7.448,5.151,2.014,0.999,1.098,0,0,0,5.151,4.517,119.94,28.359,10.095,2.196,2.391,2.148,12.435,3.002,1.353,5.314,11.259,4.859,3.113,1.771
00:00.3,0,0,0,0,0,0,0,0,0,54.442,18.352,26.288,21.08,4.556,18.765,8.333,5.772,8.523,8.595,1.84,0.516,1.1,0,0,0,8.595,6.942,101.36,25.815,8.991,2.303,0.787,2.223,12.928,4.191,1.349,4.936,7.675,6.267,3.342,2.514
